Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,0.6173506354915052,"tensor([0.9943, 0.9943, 0.9965, 0.9916, 0.9943, 0.9907, 0.9962, 0.0000, 0.9925,
        0.9968, 0.9907, 0.9957, 0.9958, 0.9896, 0.9897, 0.0000, 0.9923, 0.0000,
        0.9941, 0.0000], dtype=torch.float64)",1.6495500583093143,"tensor([0.7449, 0.2000, 0.6329, 0.6602, 0.6957, 0.7253, 0.6951, 0.0000, 0.6452,
        0.8120, 0.5946, 0.5872, 0.8350, 0.4762, 0.5200, 0.0000, 0.7571, 0.0000,
        0.8571, 0.0000], dtype=torch.float64)"
2,0.6222006620379784,"tensor([0.9940, 0.9905, 0.9916, 0.9891, 0.9908, 0.9901, 0.9969, 0.0000, 0.9968,
        0.9927, 0.9900, 0.9882, 0.9940, 0.9922, 0.9898, 0.0000, 0.9908, 0.0000,
        0.9918, 0.0000], dtype=torch.float64)",1.6186664667715918,"tensor([0.7733, 0.1111, 0.5591, 0.6417, 0.7237, 0.7065, 0.6667, 0.0000, 0.6400,
        0.8130, 0.6111, 0.5769, 0.8421, 0.4719, 0.5778, 0.0000, 0.7778, 0.0000,
        0.8889, 0.0000], dtype=torch.float64)"
3,0.6126541248700917,"tensor([0.9963, 0.9981, 0.9891, 0.9944, 0.9981, 0.9961, 0.9966, 0.0000, 0.9936,
        0.9966, 0.9943, 0.9968, 0.9964, 0.9890, 0.9937, 0.0000, 0.9963, 0.0000,
        0.9926, 0.0000], dtype=torch.float64)",1.66442555054106,"tensor([0.7539, 0.1053, 0.6216, 0.6834, 0.7170, 0.7374, 0.6790, 0.0000, 0.6346,
        0.8340, 0.6024, 0.6105, 0.8980, 0.4884, 0.4444, 0.0000, 0.7727, 0.0000,
        0.8807, 0.0000], dtype=torch.float64)"
4,0.6157681726848087,"tensor([0.9947, 0.9981, 0.9941, 0.9932, 0.9954, 0.9941, 0.9965, 0.0000, 0.9931,
        0.9936, 0.9921, 0.9984, 0.9934, 0.9942, 1.0000, 0.0000, 0.9930, 0.0000,
        0.9948, 0.0000], dtype=torch.float64)",1.6343972412899475,"tensor([0.7586, 0.2727, 0.5946, 0.6752, 0.7251, 0.7208, 0.7067, 0.0000, 0.7333,
        0.8133, 0.6400, 0.5688, 0.8713, 0.5217, 0.6000, 0.0000, 0.7647, 0.0000,
        0.8807, 0.0000], dtype=torch.float64)"
5,0.6150986420349284,"tensor([0.9950, 0.9847, 0.9926, 0.9937, 0.9939, 0.9949, 0.9959, 0.0000, 0.9968,
        0.9968, 0.9950, 0.9947, 0.9982, 0.9863, 0.9949, 0.0000, 0.9952, 0.0000,
        0.9941, 0.0000], dtype=torch.float64)",1.629876392944731,"tensor([0.7608, 0.2000, 0.5915, 0.7073, 0.7453, 0.7200, 0.6404, 0.0000, 0.6517,
        0.8155, 0.5763, 0.6186, 0.8224, 0.4727, 0.5581, 0.0000, 0.7852, 0.0000,
        0.8727, 0.0000], dtype=torch.float64)"
6,0.6184605040017397,"tensor([0.9938, 0.9981, 0.9896, 0.9922, 0.9943, 0.9915, 0.9928, 0.0000, 0.9920,
        0.9933, 0.9943, 0.9893, 0.9940, 0.9896, 0.9911, 0.0000, 0.9963, 0.0000,
        0.9941, 0.0000], dtype=torch.float64)",1.6840676119412419,"tensor([0.7596, 0.2222, 0.5926, 0.6831, 0.7564, 0.7239, 0.6757, 0.0000, 0.6667,
        0.8017, 0.5833, 0.6316, 0.8496, 0.4348, 0.4800, 0.0000, 0.7805, 0.0000,
        0.8276, 0.0000], dtype=torch.float64)"
7,0.6164882722482039,"tensor([0.9945, 0.9865, 0.9891, 0.9929, 0.9954, 0.9910, 0.9948, 0.0000, 0.9957,
        0.9947, 0.9979, 0.9941, 0.9964, 0.9916, 0.9873, 0.0000, 0.9934, 0.0000,
        0.9948, 0.0000], dtype=torch.float64)",1.663770163329288,"tensor([0.7419, 0.2105, 0.5495, 0.6366, 0.7006, 0.7709, 0.6545, 0.0000, 0.6875,
        0.8095, 0.5135, 0.6168, 0.8440, 0.4304, 0.5000, 0.0000, 0.8062, 0.0000,
        0.8738, 0.0000], dtype=torch.float64)"
8,0.6189045043575754,"tensor([0.9946, 0.9981, 0.9911, 0.9914, 0.9931, 0.9896, 0.9955, 0.0000, 0.9963,
        0.9936, 0.9893, 0.9952, 0.9946, 0.9903, 0.9886, 0.0000, 0.9912, 0.0000,
        0.9926, 0.0000], dtype=torch.float64)",1.6477109051059364,"tensor([0.7528, 0.2105, 0.6133, 0.6392, 0.7317, 0.7222, 0.6369, 0.0000, 0.6729,
        0.7984, 0.5294, 0.6087, 0.8972, 0.4681, 0.4500, 0.0000, 0.7737, 0.0000,
        0.8571, 0.0000], dtype=torch.float64)"
9,0.6157750122848041,"tensor([0.9961, 0.9904, 0.9940, 0.9934, 0.9954, 0.9927, 0.9962, 0.0000, 0.9952,
        0.9963, 0.9936, 0.9898, 0.9947, 0.9890, 0.9937, 0.0000, 0.9952, 0.0000,
        0.9881, 0.0000], dtype=torch.float64)",1.6394509127224919,"tensor([0.7748, 0.2609, 0.5747, 0.6807, 0.7152, 0.7351, 0.6928, 0.0000, 0.6939,
        0.7903, 0.6216, 0.6383, 0.8627, 0.4400, 0.4545, 0.0000, 0.8065, 0.0000,
        0.8235, 0.0000], dtype=torch.float64)"
10,0.6185270466907279,"tensor([0.9941, 0.9943, 0.9916, 0.9916, 0.9901, 0.9916, 0.9917, 0.0000, 0.9952,
        0.9940, 0.9914, 0.9925, 0.9934, 0.9903, 0.9962, 0.0000, 0.9927, 0.0000,
        0.9940, 0.0000], dtype=torch.float64)",1.6503072695438916,"tensor([0.7619, 0.3636, 0.5287, 0.6624, 0.6506, 0.7166, 0.6788, 0.0000, 0.6813,
        0.8225, 0.5217, 0.6000, 0.8283, 0.4944, 0.4545, 0.0000, 0.7704, 0.0000,
        0.8621, 0.0000], dtype=torch.float64)"
