Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,2.5396816823686232,"tensor([0.3690, 0.0000, 0.0021, 0.2722, 0.3172, 0.0665, 0.2405, 0.0000, 0.2528,
        0.1436, 0.0000, 0.0326, 0.0415, 0.0000, 0.0043, 0.0000, 0.0015, 0.0000,
        0.0108, 0.0000], dtype=torch.float64)",2.4372698836342033,"tensor([0.4364, 0.0000, 0.0000, 0.2986, 0.4697, 0.0789, 0.2639, 0.0000, 0.5033,
        0.1313, 0.0000, 0.0357, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000], dtype=torch.float64)"
2,2.3228195884731826,"tensor([0.4730, 0.0000, 0.0021, 0.3166, 0.4555, 0.1400, 0.3648, 0.0000, 0.4332,
        0.2383, 0.0000, 0.1644, 0.1179, 0.0000, 0.0044, 0.0000, 0.0402, 0.0000,
        0.1017, 0.0000], dtype=torch.float64)",2.2057135622092434,"tensor([0.5249, 0.0000, 0.0000, 0.3046, 0.4786, 0.2323, 0.3624, 0.0000, 0.6142,
        0.3369, 0.0000, 0.2628, 0.3721, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.2059, 0.0000], dtype=torch.float64)"
3,2.2170048870927657,"tensor([0.5113, 0.0000, 0.0021, 0.3203, 0.4992, 0.2366, 0.3974, 0.0000, 0.5067,
        0.3231, 0.0057, 0.2505, 0.2449, 0.0157, 0.0000, 0.0000, 0.1270, 0.0000,
        0.2079, 0.0000], dtype=torch.float64)",2.244598882483819,"tensor([0.5408, 0.0000, 0.0000, 0.2727, 0.4839, 0.3235, 0.3463, 0.0000, 0.6232,
        0.2652, 0.0000, 0.2958, 0.2979, 0.0000, 0.0000, 0.0000, 0.0964, 0.0000,
        0.2405, 0.0000], dtype=torch.float64)"
4,2.122801443676291,"tensor([0.5468, 0.0000, 0.0061, 0.3311, 0.5466, 0.2627, 0.4252, 0.0000, 0.5854,
        0.4104, 0.0577, 0.3149, 0.2922, 0.0416, 0.0127, 0.0000, 0.2305, 0.0000,
        0.2536, 0.0000], dtype=torch.float64)",2.088553123103762,"tensor([0.5694, 0.0000, 0.0000, 0.3326, 0.6275, 0.2807, 0.4088, 0.0000, 0.6667,
        0.3756, 0.0417, 0.2783, 0.3714, 0.0000, 0.0000, 0.0000, 0.0682, 0.0000,
        0.3939, 0.0000], dtype=torch.float64)"
5,2.0317353909674214,"tensor([0.5772, 0.0000, 0.0216, 0.3561, 0.5732, 0.3384, 0.4678, 0.0000, 0.6145,
        0.4425, 0.1800, 0.3736, 0.3793, 0.0433, 0.0473, 0.0000, 0.3070, 0.0000,
        0.3358, 0.0000], dtype=torch.float64)",2.0391334113951256,"tensor([0.5516, 0.0000, 0.1013, 0.3455, 0.6483, 0.2336, 0.4558, 0.0000, 0.6870,
        0.4417, 0.0889, 0.4242, 0.4138, 0.0444, 0.0000, 0.0000, 0.2642, 0.0000,
        0.3846, 0.0000], dtype=torch.float64)"
6,1.9318456364940582,"tensor([0.6141, 0.0000, 0.0754, 0.3708, 0.6107, 0.3765, 0.5065, 0.0000, 0.6484,
        0.5098, 0.3211, 0.4328, 0.4656, 0.0894, 0.1179, 0.0000, 0.3916, 0.0000,
        0.4081, 0.0000], dtype=torch.float64)",1.9811670000884911,"tensor([0.6450, 0.0000, 0.1250, 0.3231, 0.6400, 0.3413, 0.5105, 0.0000, 0.6721,
        0.5263, 0.4225, 0.4370, 0.4828, 0.0769, 0.0800, 0.0000, 0.4138, 0.0000,
        0.2545, 0.0000], dtype=torch.float64)"
7,1.8360414619199312,"tensor([0.6464, 0.0082, 0.1392, 0.4089, 0.6492, 0.4120, 0.5430, 0.0000, 0.6846,
        0.5764, 0.3889, 0.4954, 0.5418, 0.1502, 0.2067, 0.0000, 0.4467, 0.0000,
        0.4397, 0.0000], dtype=torch.float64)",1.9040475987307848,"tensor([0.6283, 0.0000, 0.2029, 0.3916, 0.6250, 0.3400, 0.4783, 0.0000, 0.6950,
        0.5862, 0.2985, 0.3488, 0.5500, 0.0435, 0.0870, 0.0000, 0.3273, 0.0000,
        0.5556, 0.0000], dtype=torch.float64)"
8,1.726808549094031,"tensor([0.6719, 0.0000, 0.2292, 0.4529, 0.6706, 0.4772, 0.5811, 0.0000, 0.7045,
        0.6308, 0.4500, 0.5330, 0.6271, 0.1699, 0.2716, 0.0000, 0.5111, 0.0000,
        0.5265, 0.0000], dtype=torch.float64)",1.8358343920661409,"tensor([0.6491, 0.0000, 0.0357, 0.4159, 0.7407, 0.4343, 0.5455, 0.0000, 0.7273,
        0.6069, 0.4865, 0.5243, 0.6437, 0.0667, 0.2941, 0.0000, 0.4923, 0.0000,
        0.6027, 0.0000], dtype=torch.float64)"
9,1.6175117411662374,"tensor([0.7162, 0.0080, 0.3211, 0.5102, 0.6970, 0.5195, 0.6333, 0.0000, 0.7464,
        0.6689, 0.5511, 0.5702, 0.6888, 0.2739, 0.3761, 0.0000, 0.5653, 0.0000,
        0.5687, 0.0000], dtype=torch.float64)",1.7599586067076254,"tensor([0.6903, 0.0000, 0.1795, 0.4066, 0.7067, 0.5106, 0.5806, 0.0000, 0.7482,
        0.6983, 0.4507, 0.4662, 0.6813, 0.1159, 0.3636, 0.0000, 0.5250, 0.0000,
        0.6500, 0.0000], dtype=torch.float64)"
10,1.4974180730649316,"tensor([0.7467, 0.0156, 0.3906, 0.5682, 0.7376, 0.5701, 0.6665, 0.0000, 0.7657,
        0.7267, 0.6096, 0.6294, 0.7428, 0.3399, 0.4465, 0.0000, 0.6332, 0.0000,
        0.6652, 0.0000], dtype=torch.float64)",1.7286078690710962,"tensor([0.6770, 0.0000, 0.2195, 0.4858, 0.7007, 0.4358, 0.5897, 0.0000, 0.6963,
        0.7538, 0.4938, 0.4874, 0.6753, 0.1687, 0.3500, 0.0000, 0.5481, 0.0000,
        0.6000, 0.0000], dtype=torch.float64)"
